tweetid,status,created_at,userid,nickname,status_count,verified,verified_type,verified_reason,gender,rank,repost_count,follower_count,follow_count,like_count,comment_count
3875499900621384,为生者祈福，为逝者默哀…… 8.12天津塘沽大爆炸 莫扎特《安魂曲》“津“夜无眠 | 为天津大爆炸生者祈福，为逝者默哀 ​,Thu Aug 13 22:04:01 +0800 2015,3875499900621384,fei扬的黑白键,2970,-1,2970,,f,27,0,1781,801,0,0
3875386624653691,#塘沽爆炸#天津爆炸事件告诉我们意外和明天不知道哪个会先来。我们永远都不知道每一天是不是自己的最后一天。其实对于生命而言，除了生死是大事其余都是小事！什么值得执着？什么应该放下？人生不过3万多天好好珍惜每分每秒，珍惜当下珍惜身边爱你和你爱着的人！为塘沽祈福 北京·如意园西门(新华派出所北) ​,Thu Aug 13 14:33:54 +0800 2015,3875386624653691,-瑾呐,3879,200,3879,,f,36,1,1765,235,5,1
3879374753193036,#天津塘沽大爆炸#【天津港“8.12”瑞海公司危险化学品仓库火灾爆炸事故遇难者名单】第一批公布101人，其余遇难人员身份正在进一步核查中。为名单上的每一个名字，默哀。 ​,Mon Aug 24 14:41:19 +0800 2015,3879374753193036,今日微博头条,14319,3,14319,新浪网地方信息聚合官方微博,m,37,8,455101,1122,30,8
3875435923997740,#天津爆炸#爆炸已经对我大天津有了很大伤害了！我们市里的人都尽量不过去给人家添乱了！你们这些想借着爆炸上头条的就别想着什么去救朋友去挖尸体的了！死者已亡现在你应该做的是不要再去给天津增加不必要的压力！不要传播任何负面能量和不实及夸大事实的信息！#塘沽爆炸# ​,Thu Aug 13 17:49:49 +0800 2015,3875435923997740,叁叁叁打败奥特曼,165,0,165,文化经纪人,f,14,2,237,281,12,1
3888186201893433,#何谓高三狗#刚刚翻到前些日子的有感所作 嗯 我那时脑洞开得也是蛮大 修改了一下 算是一种悼念吧 逝者已已 活下去的人终要背负着伤痕 继续前进#天津塘沽大爆炸# ​,Thu Sep 17 22:14:52 +0800 2015,3888186201893433,孤独症晚期先生,15,-1,15,,f,4,0,2,2,3,0
3876830874267928,天津8.12大爆炸事件暴露出天津市委市政府官僚主义作风，小小一个天津市，市委市政府领导不深入基层调查研究，满足于做官当老爷，天天听汇报，对重...//【媒体指天津港集团监管交叉管理薄弱：架子很大】  天津港集团被指管理薄弱 ​,Mon Aug 17 14:12:51 +0800 2015,3876830874267928,尚建光1,40,-1,40,,m,9,0,4,34,0,0
3885980748815848,天津港“8.12”爆炸事故165名遇难者名单已全部公布，8位失联者被确认无生存可能，法院将启动宣告死亡程序。 ​,Fri Sep 11 20:11:10 +0800 2015,3885980748815848,凤凰微新闻,77360,3,77360,凤凰卫视资讯台,m,24,1,125378,42,1,0
3897286490388101,#天津北辰大爆炸#两个月前的塘沽大爆炸，还有谁追问后续的调查结果吗？ ​,Tue Oct 13 00:56:10 +0800 2015,3897286490388101,杨文彬Wenbin,3829,-1,3829,,m,38,70,10359,1632,1288,163
3875469613302337,#塘沽爆炸# 第一次对背影的遐想来自朱自清的散文，当时年幼并不懂得背影。《逆行》也是背影的一种，这种背影和朱自清的背影都是责任的一种体现，也许他们身形并不伟岸，但是虽千万人吾往矣的气势令人心折，前方的火光是心中的勇气，前方的爆炸是生命的烟花，此致敬礼。 ​,Thu Aug 13 20:03:41 +0800 2015,3875469613302337,吴空没你想像的那么糟,832,-1,832,,m,25,0,375,379,0,0
3877272840487651,刚给爆炸中受伤的同学打个电话，这两年真是倒霉事不断，去年她怀孕7个多月早产，孩子抢救几天还是夭折了，花了十几万还是人才两空。刚刚一年，又经历了8.12大爆炸，房子和车全毁了，她说感觉就是什么都没有了，真不知怎么安慰她，希望政府能给他们一个合理的赔付吧 ​,Tue Aug 18 19:29:04 +0800 2015,3877272840487651,在一起1028,561,-1,561,,f,17,0,202,167,0,0
